Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2021,"12        ",Female,18,Right-Handed,178,25,178,2,Bus,40,0.36,41,Athletics,668,888,1000,310,711,1000,25,"Same length",69,76,"Ring finger",February,Summer,No,No,Desserts,Water,English,7,8,4,"Yes - broadband connection","Cell phone",50,70,6,8,8,6,8,0,7,1,8,4,15,5,"Very little","Graduate degree",Pop,Telepathy,Healthy,Relative,Health
USA,NY,2021,"12        ",Female,17,Left-Handed,161,24,166,1,Car,8,.33,37,Soccer,1000,1000,1000,1000,500,700,24,"Left foot",70,75,"Ring finger",November,Winter,Yes,No,Fruit,Water,"Mathematics and statistics",3,10,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",150,200,10,20,4,1,10,65,100,100,100,6,15,0,"A lot","Graduate degree",Pop,"Freeze time",Healthy,"Musician or singer","Wildlife, animals"
USA,NY,2021,"11        ",Female,16,Right-Handed,160,21,66,2,"Rail (Train/Tram/Subway)",40,0.433,35,Other,700,800,600,600,800,800,21.5,"Left foot",600,650,"Ring finger",August,Fall,No,No,Meat,Water,"Mathematics and statistics",7,10,4,"Yes - other","In person",100,200,10,5,20,40,14,0,10,5,20,0,0,20,"A lot","Graduate degree",Pop,"Freeze time",Happy,Other,"International aid"
USA,NY,2021,"12        ",Female,17,Right-Handed,,,,2,"Rail (Train/Tram/Subway)",39,0.324,26,Walking/Hiking,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2021,"12        ",Female,17,Right-Handed,155,22,137,3,"Rail (Train/Tram/Subway)",60,0.395,35,Other,900,900,900,900,1000,1000,22,"Same length",56,53,"Index finger",October,Fall,Yes,No,Breads/Sandwiches,Water,"Mathematics and statistics",6,9,4,"Yes - broadband connection","Text messaging",50,90,4,0,10,5,1,0,6,3,10,1,4,10,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"International aid"
USA,NY,2021,"12        ",Female,16,Right-Handed,171,25,172,1,Bus,35,,43,Soccer,800,650,700,600,300,500,25,"Same length",100,150,"Ring finger",October,Fall,No,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",8,10,3,"Yes - other","In person",100,100,4,12,14,15,24,3,0,7,35,7,0,2,"A lot","Graduate degree","Rhythm and blues (R&B)",Telepathy,Rich,"Business person","Arts, culture, sports"
USA,NY,2021,"11        ",Male,18,Right-Handed,,,,2,"Rail (Train/Tram/Subway)",25,.3,40,Soccer,800,700,600,600,700,500,,"Right foot",,,"Ring finger",April,Spring,Yes,No,,Water,Art,8,8,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,3,,,,,,,,,,,,,Some,"Some college",Other,Telepathy,Happy,"Business person","International aid"
USA,NY,2021,"12        ",Male,17,Right-Handed,120,22,163,2,Walk,25,0.356,35,None,652,652,401,332,834,834,22,"Same length",69,76,"Ring finger",June,Fall,Yes,No,"Rice/Noodle dishes",Water,"Computers and technology",8,10,4,"Yes - broadband connection","Internet chat or instant messaging",20,10,1,1,7,4,0,12,1,3,22,0,0,2,Some,"Graduate degree",Techno/Electronic,"Freeze time",Rich,"Musician or singer","International aid"
USA,NY,2021,"12        ",Female,17,Right-Handed,166,"20 ",160,2,"Rail (Train/Tram/Subway)","55 ",0.373,43,Walking/Hiking,1000,900,1000,1000,1000,1000,"20 ","Left foot",80,75,"Index finger",October,Fall,No,No,Pizza/Pasta,Water,English,8,9,4,"Yes - broadband connection","In person",50,50,"5 ",3,12,7,6,7,14,14,56,20,0,3,"A lot","Graduate degree","Rock and roll","Freeze time",Happy,Friend,Health
USA,NY,2021,"12        ",Male,17,Ambidextrous,170,24,175,1,Car,15,.325,39,Baseball/Softball,610,750,500,430,300,500,24,"Same length",29,30,"Ring finger",July,Summer,Yes,No,Poultry,"Sports drink","Physical education",6,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",150,150,10,3,5,12,16,10,12,5,40,1,16,4,Some,"Graduate degree","Rap/Hip hop","Super strength",Happy,Relative,"Arts, culture, sports"
